id,name,lat,lng,category,description,author,difficulty,favorite,date_added,region
-OlKOZeVkJiqbDOgG025,Abandoned Mimis cafe,32.83968,-116.9833822,building,,Anonymous,4,False,2026-02-12 21:08:13,California
-OlKOtQ_1-iVXzpe3wm6,Abandoned House,32.8499518,-116.8981659,house,kinda nasty,Samuel Berkinballs,0,False,2026-02-12 21:09:38,California
-OlKPTwB64i2hBlt3f_o,Abandoned Vintage Shop,32.989025,-117.2701517,building,,Anonymous,0,False,2026-02-12 21:12:11,California
-OlKQWp21cYXn2MdoC5A,abandoned highway entrance,33.20639,-117.38278,other,,Anonymous,1,False,2026-02-12 21:16:45,California
-OlKRIgehDzkvlhQtW-t,abandoned bridge,33.260072626049975,-117.23797938004296,other,,Anonymous,0,True,2026-02-12 21:20:10,California
-OlKRWef1dGCw-FkUq9a,The IDF base camp,34,-116,,"The Israelites are hiding in these woods, come but beware. Do not bring change, the Jews do not come in peace. Bring offerings for the bard and neuberger families",Benjamin net and yahoo,,False,2026-02-12 21:21:07,California
-OlKRnIkVFuJRqff4eGz,Vista tunnel,33.1989499,-117.2445397,tunnel,superrrrr long,Anonymous,0,False,2026-02-12 21:22:21,California
-OlKSI9hkCpbX7mv7gpQ,bando taco shop,33.1933097,-117.2339501,building,,Anonymous,0,False,2026-02-12 21:24:30,California
-OlKSgZl3MKkurC5mwkZ,Big pit,33.3057426,-117.3400409,building,,Anonymous,0,False,2026-02-12 21:26:14,California
-OlKTPKbphXx1wRG31w7,Abandoned ranch house,33.2437,-117.1458,house,,Anonymous,3,False,2026-02-12 21:29:21,California
-OlMj-xXVd8b-E_MmGBP,Abandoned House and Barn,33.44564268418621,-116.85833588872605,house,,Anonymous,0,False,2026-02-13 08:01:08,California
-OlMjmICyeu9i_BZ8B3i,Abandoned Pharmaceutical Building,32.813155,-116.9442212,building,Idk if there’s a way in,Samuel Berkinballs,3,False,2026-02-13 08:04:30,California
-OlMk9ZIDmsX3J1Z_A-r,Abandoned Storage Barrack,33.0491992,-117.1219511,building,kinda sketch,Anonymous,3,False,2026-02-13 08:06:09,California
-OlMkSmyuMeRWHyjo60x,Dyer House Ruins,32.9274242,-116.5602254,house,there’s a parking fee but don’t bother cuz you’ll prob be there for 5 minutes,Anonymous,1,False,2026-02-13 08:07:28,California
-OlMkiZePdZG3w9oYx5b,abandoned ship,32.9757271,-116.7969439,other,,Anonymous,1,False,2026-02-13 08:08:37,California
-OlMlIlpb8Za_aoYw5Tv,abandoned mansion,33.05886,-117.20659,house,"Park down the street and walk there. Go to the left side of the house, the back door was open when I got there. Not much in the house it’s in pretty good condition but there’s a cool chest in the garage full of love letters and schoolwork.",Anonymous,3,True,2026-02-13 08:11:09,California
-OlMllGgPRUPXIjXDKub,Abandoned Mega Mansion with spiral staircase,33.0061,-117.2057,house,Super sick signs that say armed security i haven’t had any issues and i’ve been a bunch of times but idk best to be safe prob go at night for less issues,Anonymous,3,True,2026-02-13 08:13:11,California
-OlMrOD2ikh3e_v_WyG-,Lincoln Heights Jail,34.077441,-118.225022,building,"The Lincoln Heights Jail in Los Angeles is a large 1931 Art Deco–era concrete jail complex that closed in 1965 and has sat mostly vacant for years, becoming known for its deteriorating cell blocks, graffiti-covered walls, broken windows, and overall decayed but imposing structure; it has been used occasionally for filming but is not open to the public. The property is fenced off, monitored, and has had private security due to past vandalism and break-ins, and there are reported environmental and structural hazards inside, so entering without permission would be illegal and unsafe.",liljoji831,4,True,2026-02-13 08:40:17,California
-OlMsFQ8vudwGGttRAjl,Estero Bluffs Shipwreck,35.449347,-120.918571,,Abandoned fishing boat,Anonymous,,False,2026-02-13 08:44:03,California
-OlMtAK-zlrx6FwfUxOp,Westminster Mall,33.746982,-118.011872,building,Rolled and trashed now. Not worth going prob plus there gunna start building over it soon and demo it,Anonymous,5,True,2026-02-13 08:48:04,California
-OlMuGnxyE8JMGpNgniZ,Angels Gate Bunker,33.716211,-118.295631,building,This bunker has lots of graffiti art and if you go in the tunnel you will find many old documents that were kept here. Park in the parking lot next to the park.,Anonymous,2,True,2026-02-13 08:52:53,California
-OlMun8GpvkPOyTinfq7,Abandoned Farm of some sorts,34.223531,-119.083071,house,Some sort of old farm. All that remains is various bits of concrete base along with assorted vintage scrap on the ground. There is also an old shed that fell completely into a ditch. Would make for a cool photography spot,Anonymous,0,False,2026-02-13 08:55:10,California
-OlMvXJFo8l3Ct0uv_bM,Abandoned Roxie Theater,34.047491,-118.250991,building,"Designed by John M. Cooper, the Roxie was the last theater to open on Broadway in 1931, and the only Art Deco theater in downtown Los Angeles. During its final years it was a Spanish language cinema, and ultimately closed in 1989.",Anonymous,0,False,2026-02-13 08:58:23,California
-OlMwb_ir0Vz_hAuEC5l,Alcatraz Island,37.8265946,-122.4233048,building,"Alcatraz Island is a small island in San Francisco Bay best known for housing the former federal prison that operated from 1934 to 1963 and once held inmates like Al Capone. Before and after its prison years, it served as a military fort, military prison, and later became a site of Native American activism during the 1969–1971 occupation. Today, it’s part of the National Park Service and preserved as a historic site. You can visit by taking an official ferry operated by Alcatraz City Cruises from Pier 33 in San Francisco; tickets are required in advance, and tours include access to the island grounds plus a self-guided audio tour of the cellhouse.",Anonymous,1,True,2026-02-13 09:03:07,California
